,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
57,58,Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Hair Care,Aroma Treasures,199.5,210.0,Hair & Scalp Treatment,4.4,"Our beautifully crafted Hair Spa Collection promises to be the perfect solution for nourishing and rejuvenating your tresses. Made with Argan Oil it revives moisture in the dull dry hair, reduces frizz, smooths unmanageable locks of curly hair, deeply nurtures hair shafts & follicles to prevent hair fall, repair split ends and strengthens the roots!Revitalising Hair Oil - The luxurious fusion of Moroccan Argan Oil, Sesame Oil, Olive Oil, Lavender and Geranium provides intense nutrition to revitalize dry and damaged hair.Follikare Wash - Precious blend of Moroccan Argan Oil, Hibiscus, and Ylang Ylang nudges away sebum to strengthen the hair follicles and improve hair growth.Follikare Deep Conditioning Mask - Perfect balance of Moroccan Argan Oil, Patchouli and Shea Butter restores hairs natural luster and provide deep nourishment to brittle, weak and frizzy locks.Restorative Nourishing Tonic - Exotic elixir of Moroccan Argan Oil, Chamomile, Watercress and Sage Extracts strengthens the root to prevent hair fall, enhance the volume and silken the texture of hair.Satin Feel Leave-On - Potent serum of Moroccan Argan Oil and Vitamin E repairs damaged hair strands, while moisturises and smoothens unmanageable dry frizzy hair.Argan - Liquid Gold - Aroma Treasures brings to you an exclusive Hair Spa Collection enriched with Argan Oil extracted from the kernels of Moroccos Argan tree."
58,59,"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Baby Bath & Hygiene,Quick Dry,199.0,199.0,Baby Health,3.7,"These bed protectors for babies bed from Quick Dry are quick absorbent that makes it dry faster. It protects the baby against the dust mites, bacteria and allergens. This leakproof protector is soft, cosy and smooth. It can be easily washed in the washing machine. It comes in a variety of colours with attractive print designs and sizes."
59,60,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,Cleaning & Household,Stationery,Prozo Plus,399.0,399.0,"Notebooks, Files, Folders",,"A5 Size (210x150mm) 
192 Pages Premium Natural Shade 80 GSM paper 
Flat Lay open easily Hardbound Diary with Premium PU Leather Top 
With Card Holder Perfect Binding with sewing 
Rounded Corners
Proudly Made in India"
60,61,"Atta Chalan - Stainless Steel, Size- No.8","Kitchen, Garden & Pets",Kitchen Accessories,Kvg,149.0,179.0,Kitchen Tools & Other Accessories,3.5,"This atta maida challan is made from high quality stainless steel. This is used for sieving wheat, rice, atta, maida and many more items."
61,62,Dog Supplement - Absolute Skin + Coat Tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,348.6,498.0,Pet Meals & Treats,4.0,"Give your pet the Glory of Healthy Skin and Coat with Drools Absolute Skin + Coat Tablet. The tablet helps make your pets coat healthier and shinier. It has the recommended formation which provides the coat with a healthy and natural sheen, while also helping keep the skin free from any allergy or disease."
62,63,"Peanut Butter - Creamy, Super",Gourmet & World Food,"Sauces, Spreads & Dips",Happilo,209.4,349.0,"Chocolate, Peanut Spread",4.3,"Happilo Super Crunchy Peanut Butter is made from high-quality peanuts and is very healthy & tasty. This delicious butter is an excellent source of protein and fibre. It is ideal for gym-goers, dieters, and joggers."
63,64,Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Biscuits & Cookies,Bisk Farm,35.0,35.0,"Marie, Health, Digestive",4.0,"Bisk Farm Sugar Free Petit Beurre is one of the best sugar free petit beurre for diabetic patients and for other health issues. They have a good flavor and these biscuits are made of salty, spice and sweet. It is hygienically baked and well packed in wrappers that makes them long lasting and remain fresh giving crispy taste. It is crispy and gives a superior taste."
64,65,Aqua Halo Rejuvenating Conditioner,Beauty & Hygiene,Hair Care,Azafran,168.75,225.0,Shampoo & Conditioner,1.0,"This Aqua Halo Rejuvenating Conditioner is an organic conditioner, which is specially formulated with moisturizing actives to add vibrancy and vitality to your hair. This natural hair conditioner provides long-lasting conditioning and colour protection. It controls unruly, dry and brittle hair and it is formulated for all hair types."
65,66,Ayurvedic Anti-Tan Face Pack,Beauty & Hygiene,Skin Care,TJORI,269.4,449.0,Face Care,,"A nourishing face pack that removes tan and brightens your face. Powered with fenugreek, milk powder and rose petals, this face pack delivers a boost of moisture to your skin, nourishing it while leaving it fresh and glowing."
66,67,Dog Supplement - Absolute Calcium Tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,339.15,399.0,Pet Meals & Treats,3.9,"Give your pet the Glory of Healthy Skin and Coat with Drools Absolute Skin + Coat Tablet. The tablet helps make your pets coat healthier and shinier. It has the recommended formation which provides the coat with a healthy and natural sheen, while also helping keep the skin free from any allergy or disease."
67,68,Battery Power Kids Toothbrush - Barbie,Beauty & Hygiene,Oral Care,Colgate,374.25,499.0,Electric Toothbrush,4.0,"Kids must brush their teeth at least 2 times a day and Colgate Kids Battery Operated Toothbrush is a fun way to encourage good oral care habits early on! The extra soft bristles, specially designed for kids, ensure gentle yet effective cleaning. This attractive Barbie toothbrush comes with a small oscillating head, which easily fits their small teeth and 2 replaceable AAA Alkaline batteries, which goes a long way. Easy on/off buttons ensures comfort brushing while the slim handle is easy to hold. The Colgate toothbrush also features fun character handles that make brushing more fun. Cleaning teeth couldn’t have been more fun! This powered toothbrush is not intended for children below 3 years of age. Read pack for complete instructions."
68,69,Organic Carom Seeds/Ajwain/Om Kalu,"Foodgrains, Oil & Masala",Masalas & Spices,Earthon,72.0,72.0,Whole Spices,,"Earthon's Ajwain is Best quality, organically grown, no preservative, no artificial colour and free from harmful chemicals or pesticides.
Ajwain also know as Bishop’s weed or Carom seeds are small brown colour seeds with a pleasant but strong odour."
69,70,"Padded Harness - 3/4 inch, Grey Colour","Kitchen, Garden & Pets",Pet Food & Accessories,Glenand,840.0,840.0,Pet Collars & Leashes,,These are soft padded harness for your active pets with light weight metal fitings making them completely safe for your pets.
70,71,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Beauty & Hygiene,Oral Care,Colgate,43.0,43.0,Toothpaste,4.0,"Kids must brush their teeth at least 2 times a day and Colgate Kids Motu Patlu Toothpaste is a fun way to ensure they enjoy good oral care habits early on! This delicious fruit flavoured toothpaste is specially designed for children of age 6 years and above who have newly erupted or developing permanent teeth. The toothpaste effectively cleanses their mouth, leaving it fresh. The kid’s toothpaste also provides clinically proven cavity and enamel protection. Sparking colourful gel of Colgate strawberry toothpaste makes brushing fun for kids. Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thoroughly clean. It ensures your kid’s smile gets brighter and cleaner with every use."
71,72,Pure & Gentle Face Wash,Beauty & Hygiene,Skin Care,Pears,120.0,150.0,Face Care,4.3,"Pears is the gentle way to keep your skin looking innocent and beautiful. It is enriched with pure glycerin and natural oils that gently moisturize skin to keep it smooth while its mild fragrance and soft lather ensure that your skin gets the pampering it deserves. Its natural glycerin provides moisture to your skin, making your face feel silky smooth while it stays clear and radiant! . Enriched with pure glycerine and natural oils that gently moisturize skin to keep it smooth. Mild fragrance and soft lather ensure that skin gets a well deserved pampering. Soap free washing preparation Pears Brand: With the goodness of glycerin & natural oils, Pears is trusted for being gentle, and is recommended by doctors and pediatricians worldwide. It keeps your skin soft and smiling with innocence. It is so pure that you can actually see through it! The pure and gentle face wash gives you fresh and clear skin in a gentle way. The face wash is suitable for frequent use as it has a soap-free formulation. Its mild fragrance will leave you feeling fresh and clean and this gentle wash not only cleans your skin but also rejuvenates it from deep within. This face wash will not leave your skin dry as it is enriched with glycerin and natural oils. So pamper your skin and nourish it at the same time with this mild face wash from Pears. You can carry this tube even in your bag, get this face wash right away!

Features and Benefits:
• Enriched with pure glycerin that gently moisturize the skin for a smooth feel.
• Deeply cleanse & wash away dead skin cells.
• This provides you a soap-free washing preparation.
• soap-free formulation.
• Fresh and renewed skin.
• Use twice a day for best results  For Beauty tips, tricks & more visitÃƒ€šÃ‚ https://bigbasket.blog/"
72,73,Sesame Seed Oil,Beauty & Hygiene,Skin Care,INATUR ,210.0,300.0,Aromatherapy,3.5,"Sesame seeds were one of the first crops processed for oil as well as one of the earliest condiments and were acquired from the seeds of Sesamum Indicum plant. Sesame contains Vitamin E that acts as an excellent antioxidant and thus is useful as a natural sunscreen lotion. Sesame oil acts as both moisturiser and emollient for the body. To prevent dry skin problems, some drops of sesame oil added to the bath water works wonders. Another benefit is that it slows down ageing because of its antioxidant properties. It also detoxifies the skin, helps to repair damaged skin cells and reduces antibacterial infections."
73,74,Til Dil Seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Mantra,70.0,70.0,Roasted Seeds & Nuts,3.6,"Mantra Til Dil is made from premium quality natural ingredients that have a great taste. It contains no preservatives, no added colours or flavours. Mantra Til Dil is a great way to indulge yourself naturally. The premium ingredients add a luxurious taste to it.  Perfect healthy snacks to tame your small hunger pangs."
74,75,"Penta Plastic Pet Water Bottle - Green, Wide Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,75.0,126.0,Water & Fridge Bottles,,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.
BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.
Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
75,76,Acne Pimple Kit For Acne & Pimple Removal,Beauty & Hygiene,Skin Care,Natures Essence,500.0,500.0,Face Care,3.0,"It is specially enriched with cloves, neem, and turmeric which dries acne and pimples naturally. It also helps in lightening the scars. It comes with Acne Magic Soap, Fresh Rose Toner, Orange Scrub Pack, Acne Pimples Cream and Acne Magic Pack."
76,77,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch","Kitchen, Garden & Pets",Kitchen Accessories,Bamboooz,135.0,299.0,Kitchen Tools & Other Accessories,4.3,"These skewers are made from bamboo and are treated and boiled. Bamboooz Bamboo Wood Twister Skewer/Picker Barbeque Disposable Stick is made with high-quality bamboo.  No chemicals are used to smoothen the sticks, nor bleach to make it look white. Whatever colour comes naturally, the same is brought to you. These are made in India."
77,78,& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bath & Hand Wash,Dettol,108.0,120.0,Bathing Bars & Soaps,4.6,"Your trusted Dettol offers a new range of Dettol Co-Created with Moms beauty bathing soaps. It is made by ingredients approved by moms and with minimal chemicals. This new range is free from parabens, harsh chemical residues, artificial dyes, and talc; it has fragrance infused with 100% natural jasmine essence. It gives 10 times better protection than any ordinary soap and is gentle on skin. Reassuringly, Dettol protects from a wide range of illness-causing germs and bacteria to help you stay healthy."
78,79,Amla Chatpata Dry Fruit,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Fresho Signature,49.0,65.0,Dry Fruits & Berries,,"Fresho Signature presents an array of dry fruits apart from the ordinary to give you the best of the best to indulge. Want to try something other than a regular fruit? This sweetened and spiced amla dry fruit is a healthy alternative to munch on when hunger strikes. It contains amla fruit, sulphurless sugar, cumin seed, black pepper, black salt, citric acid, cinnamon, asafoetida and ginger powder. Easy to carry, it makes a great snack to keep you going throughout the day.

Our spicy candied dry fruit is here to be your snack buddy and your healthy sugar high. They are sweetened with sulphurless sugar and liquid glucose and spiced to enhance the zing. There are 0 added preservatives, artificial colour and flavour to retain the original fruit essence and keep it natural and healthy."
79,80,"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Oral Care,Colgate,49.0,79.0,Toothbrush,3.9,"Kids must brush their teeth at least 2 times a day and Colgate Kids Spider-man Toothbrush is a fun way to encourage good oral care habits early on! This attractive extra-soft bristle toothbrush has extra soft bristles specially designed for children. It is ideal for kids of age 5 years and above who have baby teeth or developing permanent teeth. Extra soft, multi-height bristles on the toothbrush effectively clean big and small teeth, while the raised tip helps clean hard to reach back teeth. The kid’s toothbrush features a well-rounded handle; a thumb grip offering comfortable hold; a suction cup at the base for easy and fun upright storage and a soft plus safe tongue cleaner on the back of the toothbrush head. Cleaning teeth could never have been more fun! Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thoroughly clean. The toothbrush helps clean beyond teeth so your kid’s smile only gets brighter and cleaner."
80,81,Chips - Topica,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65.0,65.0,Chips & Corn Snacks,3.9,Made with Topica
81,82,Cup a Soup - Croutons Cream of Asparagus,Gourmet & World Food,"Pasta, Soup & Noodles",Batchelors,269.1,299.0,Imported Soups,,"Batchelor's Cup a Soup with Croutons Cream of Asparagus: Serving Suggestion: 1. Empty a Sachet into a cup or mug, 2. Add 230ml of boiling water, 3. Stir well, wait a few moments, 4. Sit back and enjoy. Ingredients: As Served (greatest first) Water, Asparagus (5%), Maize Starch, Glucose Syrup, Vegetable Oil, Croutons (1.3), (Wheat Flour, Vegetable Oil, Salt, Yeast, Rosemary Extract), Lactose, Potato Starch, Salt, Onion Powder, Milk Proteins, Flavouring, Flavours Enhancers (Monosodium Glutamate, Disodium 5-ribonucleotides), Emulsifier (Mono-and Diglycerides of Fatty Acids), Acidity Regulator (Dipotassium Phosphate), Yeast Extract (Contain Barley), Turmeric, Natural Flavouring (Contains Celery)."
82,83,Organic Dal - Masoor,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,96.0,96.0,Organic Dals & Pulses,3.9,"Pro Nature Organic Masoor Dal, that comes in a hygienically sealed packet ensuring its freshness and taste. It is a preparation of pulses (dried lentils, beans or peas) which have been stripped of their external hulls and split. It is also high in carbohydrates whilst being virtually fat free. It is also rich in B vitamins thiamine and folic acid as well as numerous minerals, especially zinc and iron."
83,84,Strawberry Ice Cream,Gourmet & World Food,Dairy & Cheese,Haagen-Dazs,225.0,225.0,Gourmet Ice Cream,,"Haagen-Dazs strawberry ice cream is sweet, summer strawberries which introduced to delicate cream and other superb ingredients. Packed over with actual fruit, the true taste of the strawberries comes shining through. This is the strawberry lover's concentrate of pure enjoyment. It is soft and delightful tastes. It is very yummy creamy frozen dessert with real fruit pieces. The ice cream supari is most thinly developed flavors to give you a distinctive flavor."
84,85,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,Cleaning & Household,Detergents & Dishwash,bb Combo,95.0,114.0,Dishwash Bars & Powders,,"Exo Dish Shine Round makes your vessels odorous and removes the stain. The fast action formula with the hyper-cleaning technology quickly removes the toughest of stains and makes your vessels shine like never before. This dishwashing bar does not leave traces on the vessel and hence it can be easily washed. It works hard on grease and stains, keeping your utensils fresh and shining. It contains many anti-microbial agents that keep your vessels away from dirt and microbes which do not create pealing or itching of your skin.Pril dishwash liquid has powerful active 2x molecules that cut away tough grease residue, removes the food smell and leaves the utensils sparkling clean."
85,86,Jupiter Water/Juice Glass Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,BB Home,479.0,629.0,Glassware,,"B Home glasses are crafted and manufactured in Taiwan to bring the best of the quality, clarity in glass and shine for elegance. These glasses are very superior in quality with high wall thickness and with a heavy bottom to flaunt your style and elegance to your guest at the first impression. These glasses are manufactured with high precision to ensure no wobbling on the rim or bottom of the glass. These are 100% food grade and dishwasher safe. These high-quality glasses can be used for serving juice, water or even alcoholic drinks during your parties.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use."
86,87,"Cheese - Feta Greek, Block",Gourmet & World Food,Dairy & Cheese,Fresho Signature,695.7,773.0,International Cheese,,Fresho Signature brings to you one of the most loved and simplest of cheeses- the luscious Greek Feta made from sheep's milk using traditional recipes. Its briny and salty taste makes it a perfect table cheese to nibble with some bread or crackers. This cheese is perfect for a fresh veggie salad because its grainy texture balances out the crunch from the veggies making it ideal for stuffing into grilled vegetables or even works well with desserts. We prepare the cheese into dices as per your individual requirements for each order. Store in an airtight container in below 5°C and consume within 5 days of packing.
87,88,Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,Pooja Needs,Shalimar,31.5,35.0,"Agarbatti, Incense Sticks",4.6,"3 in 1, Incense sticks, also known as agarbathi (or agarbatti) and joss sticks, in which an incense paste is rolled or moulded around a bamboo stick, are the main forms of incense in India. In India, burning incense is about spreading positivity in all around areas. Burning incense sticks is also a symbol of worshipping God and a symbol of peace and freshness.With powerful healing properties, these incense sticks can influence your life by increasing spirituality. The bamboo method originated in India and is distinct from the Nepali/Tibetan and Japanese methods of stick making without bamboo cores."
88,89,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,254.15,299.0,Bathing Bars & Soaps,4.2,"Favoured by over 380 million consumers, Godrej No.1 offers you 'nature's way to beauty' with carefully chosen natural ingredients to make your skin naturally beautiful. It is Grade 1 quality soap and the highest-selling soap of its kind in the country. Godrej No.1 Sandal and Turmeric soap come with the sweet, balsamic, woody scent of the sandal. It preserves the young nature of your skin giving you a perfect complexion. It protects your skin and gives you a youthful and young look."
89,90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Cuts & Sprouts,Supa Corn,55.0,55.0,Cut & Peeled Veggies,,"Ready To Eat Sweet Corn kernels, packaged using OXYFRESH Technology along with Chipotle masala sachet."
90,91,Ashwagandha Tablets,Beauty & Hygiene,Health & Medicine,Muniyal Ayurveda,120.0,120.0,Ayurveda,,"Muniyal Ayurveda Ashwagandha Tablet contains the Ayurveda herb, Ashwagandha, which has worked wonders with patients of cardiac and neural disorders for centuries. The tablet strengthens the nervous system and enables its users to handle stress better by elevating their stress threshold considerably. It is effective against hypertension and is also beneficial in renal complaints because of the diuretic properties of its ingredients. Its anti-inflammatory properties reduce the risk of fever, swelling and tenderness."
91,92,Hard Anodised Ezee-Pour Saucepan With Lid - L88,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins Futura,864.5,910.0,Tawa & Sauce Pan,4.6,Futura Hard Anodised Saucepan comes with a spout for pouring and is especially suitable for making tea or other beverages and boiling milk. The larger capacity saucepans have flared rims. All saucepans either come with a lid or are offered with an optional lid. It has one long handle.
92,93,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Dairy,Gowardhan,80.01,90.0,"Flavoured, Soya Milk",5.0,"Gowardhan Topp-Up Milk is made by 100 % of cow's milk and has 10% more protein. This elaichi milk will taste like a rich and luxurious treat. Liked by all ages, this healthy drink is perfect for your hunger pangs and its delicious taste will surely going to please your taste buds."
93,94,Namkeen - Madras Mixture,Snacks & Branded Foods,Snacks & Namkeen,Townbus,10.0,10.0,Namkeen & Savoury Snacks,4.1,Townbus Savoury Snacks are made by combining the freshest of ingredients with a traditional recipie. These authentic snacks will take you down memory lane and remind you of the traditional snacks your grandma used to make with love. Townbus namkeens are perfect to relish with your evening tea or coffee. They can also be used in chaat for added flavour or to customise it as per your liking. Townbus every bite has a story.
94,95,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack","Kitchen, Garden & Pets",Steel Utensils,Ramson,129.0,249.0,Steel Storage Containers,1.5,"These smart and stylish air-tight, spill-proof and moisture-free storage containers help keep your food fresh and tasty for longer. They have locks on 4 sides to prevent spills and moisture. The translucent lids let you easily see what's inside. These stainless steel containers are a big help when packing food for school and office. Durable and reusable, these containers can even be taken along for lunches and picnics. This size makes it ideal to store chapatis or any other Indian snacks."
95,96,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Beauty & Hygiene,Fragrances & Deos,Brut,179.4,299.0,Men's Deodorants,4.0,"Looking for an energetic fragrance that works for all occasions? Say hello to Brut Ocean Deodorant Spray. A fresh, aquatic version of the classic men’s fragrance, Brut Ocean leaves you feeling super fresh and energized through the day. It embodies an energetic experience – exactly what you need to either kickstart your day or post a great workout session. Enjoy this masculine, aquatic fragrance that lasts all day, all night. An iconic brand in the world of fragrances, Brut exemplifies absolute class, electrifying charisma and ultimate sophistication. So, what are you waiting for?"
96,97,Hair Remover Spray - Foam Lemon,Beauty & Hygiene,Feminine Hygiene,Dimples,1200.0,1200.0,Hair Removal,,"Denim BlackÃ‚ is made for the bold and the confident. The unmistakably intense and woody accord of Patchouli, Sandalwood & Cedar represent masculinity, while Amber, Labdanum & Oakmoss balances the composition with warm sensual tones.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
97,98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,35.0,Hand Wash & Sanitizers,4.4,"Godrej Protekt Mr Magic handwash is a unique powder to liquid format, a first, in the world of handwashes! With Neem which is tough on germs and soothing Aloe Vera makes it gentle on skin. Extremely affordable compared to other handwashes in the market.Mr Magic handwash is not just green in colour, it's also green in nature. If all Indian households that use liquid handwash refills switch to Godrej Protekt Mr Magic refills, it would result in a greener, better world.So, add, pour, shake and wash to stay protected!"
98,99,Frankincense Oil,Beauty & Hygiene,Skin Care,Organic Harvest,258.75,345.0,Aromatherapy,3.7,"This Frankincense Oil balance, heals, tones and rejuvenates ageing skin. Its woody, warm, and balsamic aroma help calm the mind during meditation and creates a peaceful environment."
99,100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,1398.0,Diapers,4.0,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little one during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And their revolutionary Dry Touch Sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants."
100,101,Samrakshana Vaastu Deepa Thailam,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Samvruddhi,515.0,515.0,Other Edible Oils,,"Exclusive blend of quality oils and powerful divine herbs, Puja Oil is the blend of five puja oils - Coconut, Rice Bran, Sesame (Til), Castor and Mahua - sourced in their purest form and blended for cherished memories to last longer The oil constitution varies regionally."
101,102,Quinoa - Organic Black,Gourmet & World Food,Cooking & Baking Needs,Nourish You,495.0,495.0,Quinoa & Grains,,• Saponin Free • Gluten Free • Grown in India • Powerhouse of Fibre & Protein • Only plant food that provides high contents of all essential ammino acids in to protein • 2 X more amino acids than Rice & Wheat • 6X Leucine than wheat
102,103,Fructis Serum - Long & Strong,Beauty & Hygiene,Hair Care,Garnier,230.0,230.0,Shampoo & Conditioner,4.8,"Garnier Fruits Long & Strong Strengthening Serum detangles unruly hair, softens hair without heaviness and helps stop split and breakage ends. It is enriched with the goodness of Grape seed and avocado oil that result in smoother, shinier and longer hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
103,104,Citrus Blast Orange Lemon Soap Free Body Wash,Beauty & Hygiene,Bath & Hand Wash,Fuschia,225.0,250.0,Shower Gel & Body Wash,3.7,Fuschia Citrus Blast Body Wash is a fusion of Orange and Lemon extracts in a soap free formula. It is rich in Vitamin C. This body wash gives you firm and flawless skin.
104,105,Veda Marie Light Biscuits,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,30.0,30.0,"Marie, Health, Digestive",4.4,"Crispy Marie biscuits with the goodness of wheat fibre and 5 natural ingredients -Tusli, Ginger, Cardamom, Ashwagandha and Mulethi, making it the perfect partner for your cup of tea!"
105,106,"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet","Kitchen, Garden & Pets",Storage & Accessories,Fendo,289.0,749.0,Umbrella,3.6,"This Fendo Umbrella brings - Classic Women Umbrella, one of the most preferred umbrellas online. Made of Superior Polyester Fabric with UV Protection. It will withstand harsh weather conditions. Umbrella Care: Please allow the umbrella to dry before closing"
106,107,Aamras Mango Fruit Juice,Beverages,Fruit Juices & Drinks,Paper Boat,243.0,360.0,Juices,,"The one treasure that easily transforms Indian summer into a festivity that it is, is Aamras. An honest treat for an honest day’s work. A silkesque ale cascading down your throat - Soothing, serenading and more importantly, lingering. Sometimes enveloped in rotis, sometimes guzzled with milk but the best way to go about Aamras is to have it directly as is. The way the ancients intended. Without preservatives or artificial flavour. Without frills or hassles.
 Ah! One just cannot help but submit to the tasty tyranny of the one true king of the fruit realm. All hail the mango! Long live the king!"
107,108,Henna & Ginseng Anti Hair Loss Shampoo,Beauty & Hygiene,Hair Care,Jovees,137.75,145.0,Shampoo & Conditioner,3.6,"Jovees Herbal Anti- hair loss Shampoo is an excellent natural recipe containing naturally derived ingredients that have proven therapeutic properties, which aid in controlling hair loss, provide nutrition and strengthen the hair shaft. It shall also help in improving the texture of the hair."
108,109,"Sandwich Toaster - Non-Stick, Gas","Kitchen, Garden & Pets",Cookware & Non Stick,Omega,249.0,315.0,Kadai & Fry Pans,3.3,Omega toasters are budget friendly gas toasters that make beautifully crisp sandwiches and toasts to be enjoyed any time. It has a non stick coating inside and a hand crafted handle with maximum grip torque. They can be easily locked to keep the contents secured inside and are very easy and convenient to use.
109,110,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",Baby Care,Baby Food & Formula,Slurrp Farm,349.0,349.0,Baby Food,4.0,"Smooth easy-to-cook porridge mix made from Sprouted Ragi, Almond powder, Banana Powder and Cardamom Powder. We use Sprouted Ragi which has 3x the calcium of a glass of milk and 10 x the calcium of wheat and rice, great for growing bones. Almonds contain fibre, minerals and essential fatty acids. Fortified with 13 essential vitamins and minerals. Great for healthy weight gain for your little ones. No Added Sugar, No Added Salt, No Milk, No Preservatives & Artificial Flavours, 100% Natural and excellent early food for the little ones. If your little one is ready for new tastes, add some mashed fruits, vegetables or Slurrp Farm Jaggery."
110,111,Incense Sticks - Sandal,Cleaning & Household,Pooja Needs,Ambica,60.0,60.0,"Agarbatti, Incense Sticks",4.6,Traditional Indian Incense Sticks
111,112,SPF 15 Sunscreen Lotion,Beauty & Hygiene,Skin Care,Elovera,209.3,299.0,Body Care,5.0,Elovera SPF Lotion is a specially formulated sunscreen that provides protection from the harmful UV radiation of the sun. The key ingredients of the sunscreen are Aloe vera and Vitamin E extract.
112,113,Fenugreek,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,28.5,30.0,Organic Masalas & Spices,4.2,"Per 100 gm : Calories - 323 g, Fat - 6 g, Protein - 23 g"
113,114,Caramel Popcorn - Himalayan Salt,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",4700BC,44.1,49.0,Gourmet Popcorn,,"4700BCs high quality popcorns are coated with signature handcrafted caramel sprinkled with Himalayan salt. It is the perfect snack for every occasion so go ahead and indulge yourself by having this pack filled of yummy Sriracha Lime Cheese popcorns at anytime during the day. This delicious gluten free snack has 0 grams of trans fat per serving and has certified non-GMO corn, no MSG and is cholesterol free."
114,115,Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control,Beauty & Hygiene,Skin Care,Soulflower,182.75,215.0,Aromatherapy,4.0,"Cold-pressed Soulflower Bhringraj Oil with coconut & sesame is a cooling non-greasy formulation that controls acute hair fall, revitalizes hair follicles, reverses premature greying and offers stress relief. The blend of Eclipta prostrate/Alba (Bhringraj) Flower Oil, Sesamum Indicum (Sesame) Seed Oil and Cocos Nucifera (Coconut) Oil can be easily absorbed by your scalp and hair. It soothes scalp irritation, protects your hair from the heat of hair dryers, curlers, and flat irons, deeply conditions hair and tames frizzy brittle hair."
115,116,Sapota - Organically Grown,Fruits & Vegetables,Fresh Fruits,Fresho,35.0,43.75,Organic Fruits,,"Brown skinned sapotas are smooth to grainy textured, musky-scented and deliciously sweet in taste. The flesh generally contains 2-3 large and inedible black seeds. Fresho sapotas are freshly plucked by our farmers who grow it organically and the best quality is delivered to you. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1232/summer-fruit-salad/"
